ProgramName,Location,PhoneNumber,Website,MealInformation
Central Seattle,Chicken Soup Brigade,"1002 E. Seneca St. Seattle, WA 98122",206-957-1631,www.llaa.org,"Screening process involved: (75% of clients are HIV positive), 1 meal per day (delivery or pick-up center)"
Central Seattle,Chief Seattle Club,"113 Cherry St. Seattle, WA. 98104",206-292-6214,www.chiefseattleclub.org,American Indians only: Monday through Friday 7:00 am to 9:30 am
Central Seattle,Community Lunch / Immanuel Community Services,"1215 Thomas St. Seattle, WA  98109",206-622-1930,www.scn.org/frnf/immanuel.htm,Open to all: Last Sunday of each month Lunch 12:00 pm-2:00 pm
Central Seattle,Community Lunch on Capitol Hill,"1710 11th Ave Seattle, WA 98122",206-484-7427,www.communitylunch.org,Open to all: Tuesday and Friday at 12:00 pm
Central Seattle,Curry Temple,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",206 325-9344,No Website,Open to all: 3rd Sunday of each month Lunch 2:00 pm to 3:30 pm
Central Seattle,Lord's Table (The),"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",Not Available,No Website,Open to all: Monday through Thursday Dinner 7:30 pm-9:00 pm
Central Seattle,Magic Works Alumni,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",Not Available,No Website,"Open to all: Last Sunday of each month 8 to 10 AM, November - March"
Central Seattle,Mary's Place,"210 Dexter Ave N. Seattle, WA 98102",206-621-8474,www.churchofmarymagdalene.org/contact.htm,Open to women & children only: Breakfast Mon through Fri 8:30 am to 9:30 am; Saturdays 10:00 am; Lunch: Mon-Sat - 12:30 pm 
Central Seattle,Meals on Wheels,"2208 2nd Ave Seattle, WA 98121",206-448-5767,www.seniorservices.org  ,Delivers meals and mobile market to seniors and people with disabilities throughout Seattle
Central Seattle,Millionair Club Charity (The),"2515 Western Ave Seattle, WA 98121",206-957-3855,www.millionairclub.org,Open to all: Monday through Friday 6:15am to 7:00 am and 12:00pm to 1:30 pm
Central Seattle,Mother's Kitchen,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",206-784-6374,www.amma.org/humanitarian-activities/social/mothers-kitchen/seattle.html,Open to all: 3rd Sunday of each month Brunch 10:00 am to 11:00 am
Central Seattle,Neighborhood Cooking Foundation,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",Not Available, www.neighborhoodcooking.org,Open to all: 1st Sunday of each month 6:00 pm to 7:00 pm and 2nd Saturday of each month 2:00 pm to 4:30 pm
Central Seattle,New Horizons Ministries,"2709 3rd Ave. Seattle, WA 98121",206-374-0866,www.nhmin.org,"For youth 22 or younger; Breakfast: Mon, Tues, Thurs, Fri, 10:00 am to 11:00 am; Dinner: Monday through Wednesday 7:00 pm to 8:00 pm and  Sun from 6:00 pm to 7:00 pm"
Central Seattle,WRC/Noel House Shelter,"2030 3rd Ave.,  Seattle, WA. 98121",206-770-0156,www.noelhouse.org,"Women Only, Women's Referral Center serves dinner at 6p.m. nightly"
Central Seattle,Operation:  Sack Lunch,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",206-357-3262,www.opsacklunch.org,"Open to all: Monday through Friday Breakfast 8:00 am to 9:00 am, Lunch 1:00 pm to 2:00 pm."
Central Seattle,Pike Market Senior Center,"85 Pike Street, #200 Seattle, WA 98101",206-728-2773,www.scn.org/seniors/senior_ctrs.html,"Open to 55+ (membership form required w/suggested yearly donation of $5): Everyday Lunch at 12:00 pm, 3 Breakfasts/week on variable days 8 am"
Central Seattle,Recovery Caf̩ Community Meals,"2301 Second Ave Seattle, WA 98121",206 374-8731,www.recoverycafe.org,"Open to all: Tuesday through Saturday, Lunch 12:30 pm to 2:30 pm; Dinner: 5:15 pm -6:00 pm (Must be 24 hours sober, and become attend a meeting after first meal)"
Central Seattle,Restoration Life Church,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",206-322-4878,www.restorationlc.org,"Open to all: 2nd and 4th Saturday of each month, Lunch 2:00 pm to 3:30 pm"
Central Seattle,St. Martin de Porres Shelter,"1561 Alaskan Way S.  Seattle, WA 98134",206-323-6341,www.ccsww.org,"Open to men 50+: Everyday Breakfast 8:00 am, Lunch 12:00 pm, Dinner 6:30 pm"
Central Seattle,Seattle Indian Center,"611 12th Ave South, Suite 300, Seattle",206-329-8700,No Website,open to all:  Monday - Friday: 12:00 - 12:45 P.M.
Central Seattle,Seattle's Union Gospel Mission,"318 2nd Ave. S. Extension  Seattle, WA.  98104-2604",206-723-0767,www.ugm.org,"Open to all (A 30 minute chapel service prior is required prior to all meals except dinner): Everyday Breakfast 7:00 am to 9:00 am, Lunch 12:00 pm, and Dinner 5:30 pm-6:30 pm"
Central Seattle,Seed of Abraham Pentecostal Church,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",425-228-1200,http://sdabraham.tripod.com/index.html,Open to all: 2nd Saturday of each month snacks are served at 1:00 pm to 2:00 pm
Central Seattle,Set Free Ministries,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",253-863-8031 ,www.sfministries.org,Open to all: 2nd  and 4th Sunday of each month a cold lunch is served at 11:00 am to 12:00 pm 
Central Seattle,Snoqualmie Valley Alliance Church,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",425-441-8364,www.svaonline.org,"Open to all: 4th Saturday of each month, Dinner 6:30 pm to 8:30 pm"
Central Seattle,Street Feeding Ministry,"Outdoor Meal Site located under I-5 at 6th & Columbia, Seattle",206-322-6300,www.mountzion.net/,"Open to all: Each 1st, 3rd and 5th Saturday 4:00pm to 5:30pm"
Central Seattle,YWCA Angeline's Meals Program,"2030 3rd Ave Seattle, WA 98121",206-436-8651,www.ywcaworks.org,"Women only, 18 and older: Everyday 7:20am to 7:50am (overnight guests), 8:10am-8:40am (program clients); Lunch 11:30am-12:00pm, 12:30pm-1:00pm; Snack 3:00 pm - 3:30 pm"
West Seattle,None In Area,,,,
North Seattle,Blessed Sacrament Food Program,"5050 8th Ave NE Seattle, WA 98105",206-547-3020,www.blessed-sacrament.org,Open to all: Every Sunday 12:00pm to 2:00 pm.
North Seattle,Friday Feast,"1110 E. Harrison #303 Seattle, WA 98102",206-632-1635,www.rootsinfo.org,"Open to all: Every Friday Dinner at 6:00 pm to 7:00 pm. Also serves snacks, dinner, and hot breakfast to homeless young persons between 18-25."
North Seattle,Jubilee Dinners,"111 NE 80th St. Seattle, WA 98115",206-523-7476,www.saintandrewsseattle.org/,Open to all: Last Sunday of each month Lunch 2:00 pm
North Seattle,Phinney Neighborhood Assoc. Soup Kitchen,"6532 Phinney Ave. N. Seattle, WA 98103",206-783-2244 ,http://phinneycenter.org/,Open to all: Mon. 12:00 pm-1:00 pm at Calvary Lutheran 7002 23rd Ave NW; Tuesdays 5:00 pm-6:00 pm and  Wednesdays 12:00 pm-1:00 pm at St. John's United Lutheran 5515 Phinney Ave N.
North Seattle,St. Luke's Episcopal Church,"5710 22nd Ave. NW Seattle, WA 98107",206-784-3119,www.saintlukesseattle.org,"<P>Open to all: Every Friday Lunch 11:30 am to 12:30 am / <FONT COLOR=""#000000"" SIZE=""13"" FACE=""Calibri""><B>Closed July &amp; August</B></FONT></P>"
North Seattle,Teen Feed,"University Lutheran Church, N.E. 50th & 16th N.E., Seattle (Enter down the steps off 16th & 50th)",206-522-4366,www.teenfeed.org/teenfeed.aspx,Open to youth ages 13 -25;  Mondays: 7:00 - 8:00 P.M.
North Seattle,Teen Feed,"University Methodist               N.E. 43rd & 15th N.E., Seattle (Enter via alley, southwest corner of the bldg)",206-522-4366,www.teenfeed.org/teenfeed.aspx,Open to youth ages 13 -25; Tuesdays: 7:00 - 8:00 P.M.
North Seattle,Teen Feed,"University Congregational N.E. 45th & 16th N.E., Seattle (Down the seps off 16th)",206-522-4366,www.teenfeed.org/teenfeed.aspx,Open to youth ages 13 -25;  Wednesday & Thursday: 7:00 - 8:00 P.M.
North Seattle,Teen Feed,"University Christian N.E. 50th & 15th N.E., Seattle",206-522-4366,www.teenfeed.org/teenfeed.aspx,"Open to youth ages 13 -25;  Fridays & Sundays: 7:00 - 8:00 P.M. (Enter via alley, SW corner of building)"
